retailer_name,keyword_rows_latest_fetch,zero_click_rows_latest_fetch,zero_click_pct_rows
Brora,149,149,100.00
probreeze,119,119,100.00
reversible,99,99,100.00
newbridgesilverwareuk,79,79,100.00
kerastase,69,69,100.00
1865486566,57,57,100.00
offspring,55,55,100.00
waterstones,52,52,100.00
Nobody's Child,40,40,100.00
disney,40,40,100.00
dottyaboutpaper,40,40,100.00
saintandsofia,29,29,100.00
terrysfabrics,28,28,100.00
naturasiberica,27,27,100.00
Cos,26,26,100.00
clinique,23,23,100.00
odiporode,23,23,100.00
harveynichols,20,20,100.00
BrandAlley,19,19,100.00
magazinesdirect,19,19,100.00
jojomamen,11,11,100.00
lego,7,7,100.00
wallis,7,7,100.00
annsummers,4,4,100.00
myflowers,4,4,100.00
doctormimedicalskincarede,1,1,100.00
inscriptureltd,1,1,100.00
voxi,1,1,100.00
7879,195,194,99.49
mamas&papas,162,161,99.38
leisurelakesbikes,129,128,99.22
Aspinal of London,362,359,99.17
shark,235,233,99.15
Jacamo,339,336,99.12
diamondsmilede,109,108,99.08
heimwerkertoolsde,107,106,99.07
whitefox,103,102,99.03
rayban,169,167,98.82
bosch,84,83,98.81
lancôme,84,83,98.81
exide,161,159,98.76
Pets at Home,159,157,98.74
jigsaw,78,77,98.72
qvc,150,148,98.67
lukeroper,75,74,98.67
nobodyschild,366,361,98.63
kettler,70,69,98.57
studio,404,398,98.51
Sephora,201,198,98.51
isinwheel,67,66,98.51
grenson,467,460,98.50
weekday,197,194,98.48
5727736846,323,318,98.45
inwariade,63,62,98.41
hudabeauty,181,178,98.34
boohooman,240,236,98.33
tgjones,469,461,98.29
colemason,175,172,98.29
paulsmith,343,337,98.25
Lounge Underwear,455,447,98.24
shoplcde,156,153,98.08
2362408643,204,200,98.04
all,50,49,98.00
townsendmusic,50,49,98.00
6853880793,343,336,97.96
harrods,97,95,97.94
scampanddude,435,426,97.93
liforme,96,94,97.92
secretsales,335,328,97.91
thecambridgesatchelcompany,475,465,97.89
nike,470,460,97.87
trail,282,276,97.87
vodafone,282,276,97.87
ninja,465,455,97.85
oasis,46,45,97.83
9475328545,135,132,97.78
nkuku,45,44,97.78
Schuh,220,215,97.73
romanoriginals,215,210,97.67
Harvey Nichols,167,163,97.60
zoopluscouk,492,480,97.56
feelunique,246,240,97.56
jessops,205,200,97.56
mous,82,80,97.56
simplybe,41,40,97.56
three,41,40,97.56
bose,245,239,97.55
Etsy,204,199,97.55
notonthehighstreet,448,437,97.54
shein,161,157,97.52
fitflop,240,234,97.50
brandalley,200,195,97.50
biocare,119,116,97.48
9780088984,118,115,97.46
beautybay,392,382,97.45
7043081415,39,38,97.44
petsathome,262,255,97.33
goldsmiths,185,180,97.30
blindsbypost,74,72,97.30
schuh,74,72,97.30
muji,437,425,97.25
netlighting,182,177,97.25
easylifelimited,362,352,97.24
ernestjones,489,475,97.14
puma,413,401,97.09
3835176413,103,100,97.09
anthropologie,410,398,97.07
jacamo,136,132,97.06
sunglasshut,440,427,97.05
lookfantastic,169,164,97.04
zorouk,231,224,96.97
delonghi,99,96,96.97
stradivariusde,229,222,96.94
shopto.net,488,473,96.93
theglowcompany,65,63,96.92
cadburygiftsdirect,64,62,96.88
landsend,415,402,96.87
publicdesire,191,185,96.86
8166385423,158,153,96.84
madeinparadisuk,312,302,96.79
m&s,31,30,96.77
thrudark,31,30,96.77
Levi's,239,231,96.65
Asda George,267,258,96.63
gap,441,426,96.60
8923432858,176,170,96.59
loungeunderwear,176,170,96.59
fragranceshop,263,254,96.58
jdwilliams,116,112,96.55
oakley,431,416,96.52
kwmwines,115,111,96.52
ARKET,459,443,96.51
stradivarius,86,83,96.51
levis,200,193,96.50
wowcher,57,55,96.49
toolstation,426,411,96.48
topshoptopman,224,216,96.43
dorothyperkins,363,350,96.42
1004074425,469,452,96.38
Currys,276,266,96.38
crocs,331,319,96.37
Flannels,108,104,96.30
Harts Of Stur,161,155,96.27
Marks & Spencer,293,282,96.25
TK Maxx,133,128,96.24
brora,237,228,96.20
homegarden,158,152,96.20
egoshoes,105,101,96.19
joules,340,327,96.18
debenhams,230,221,96.09
myproteinde,51,49,96.08
frasers,150,144,96.00
espa,25,24,96.00
gogroopie,197,189,95.94
allsaints,73,70,95.89
LEGO SYSTEM A/S,361,346,95.84
3324390331,192,184,95.83
etsy,500,479,95.80
hartsofstur,214,205,95.79
3362589062,190,182,95.79
4517435019,307,294,95.77
wexphotovideo,70,67,95.71
boots,253,242,95.65
endclothing,23,22,95.65
amazon,204,195,95.59
funko,135,129,95.56
threadbare,45,43,95.56
lululemon,491,469,95.52
BoohooMan.com,111,106,95.50
fenwick,88,84,95.45
monicavinader,459,438,95.42
office,153,146,95.42
arket,216,206,95.37
otherstories,86,82,95.35
trotecde,43,41,95.35
majesticwine,405,386,95.31
footasylum,145,138,95.17
mugleruk,468,445,95.09
COS DE,382,363,95.03
tkmaxxde,402,382,95.02
JD Williams,180,171,95.00
regatta,198,188,94.95
cookology,494,469,94.94
Simply Be,237,225,94.94
victoriasecret,59,56,94.92
Uniqlo,115,109,94.78
londonsockcompany,19,18,94.74
5344316766,490,464,94.69
medinouk,449,425,94.65
rangersfcstore,18,17,94.44
bedeckhome,249,235,94.38
oleum,249,235,94.38
cos,408,385,94.36
tkmaxx,299,282,94.31
Frasers,228,215,94.30
flannels,436,411,94.27
marshall,393,370,94.15
minerva,232,218,93.97
whistles,430,404,93.95
cosde,345,323,93.62
ewantode,31,29,93.55
weirdfish,402,376,93.53
Fenwick,245,229,93.47
QVC,139,129,92.81
uniqlo,264,245,92.80
1367547794,230,213,92.61
vans,90,83,92.22
boohoomande,215,198,92.09
rolex,441,405,91.84
merrell,24,22,91.67
beautyworksonline,234,213,91.03
quizclothing,383,347,90.60
lakelandfashion,21,19,90.48
asdageorge,166,149,89.76
magnitone,7,6,85.71
mintvelvet,215,184,85.58
unfolded,87,71,81.61
